iter	RMSE
171	248.30575
172	248.3039855
173	248.3021287
174	248.2676628
175	248.1786671
176	248.1071664
177	246.4928536
178	246.4842193
179	246.4822923
180	246.3887159
181	246.3835588
182	246.3820087
183	246.3766298
184	246.3734442
185	246.2536733
186	246.2526667
187	246.238981
188	246.2300473
189	246.2026636
190	246.1793937
191	245.8220352
192	245.795537
193	245.793883
194	245.7663809
195	245.7645662
196	245.7491874
197	245.0055953
198	244.9951302
199	243.5162314
200	243.5014158
201	243.4853122
202	243.0546812
203	243.0499452
204	241.7064022
205	241.5712443
206	241.3552018
207	241.3405138
208	241.3399367
209	241.2147364
210	241.1911039
211	241.1842658
212	241.1833995
213	239.9911195
214	239.899257
215	239.8984426
216	239.536224
217	239.4708174
218	239.4582467
219	239.3482605
220	239.3476037
221	238.9909677
222	238.986286
223	237.9178548
224	237.9159257
225	237.8972496
226	237.8937676
227	237.7947644
228	237.7844167
229	237.4630988
230	237.4217503
231	237.4210553
232	236.7071716
233	236.5022437
234	236.4996412
235	236.4890415
236	236.4647926
237	236.4502999
238	236.427616
239	236.4262935
240	236.3754988
241	236.3734138
242	236.3720795
243	236.3535129
244	236.3295236
245	236.3277212
246	236.3221259
247	236.2302478
248	236.2020086
249	236.1942217
250	236.117649
251	236.1164982
252	236.1126795
253	236.0692311
254	236.0509403
255	236.0302858
256	236.0135074
257	235.9995723
258	235.9024847
259	235.8418143
260	235.8399977
261	235.3168933
262	235.3159673
263	234.8978089
264	234.8964504
265	234.7672047
266	234.1985005
267	234.1842831
268	234.0634006
269	233.9622769
270	233.9249167
271	233.8191601
272	233.8050608
273	233.7983648
274	233.7760239
275	233.6950884
276	233.6936755
277	233.6923142
278	233.6803166
279	233.442025
280	233.412815
281	233.411655
282	233.3765049
283	233.3665977
284	233.3046963
285	233.2970421
286	233.2855571
287	232.692065
288	232.6683522
289	232.3494838
290	232.3475844
291	232.3374427
292	232.3161693
293	232.3149823
294	232.3116914
295	232.3096122
296	232.0739557
297	232.0693751
298	232.0582658
299	232.0523956
300	231.97753
301	231.9767229
302	231.9715466
303	231.9681006
304	231.962745
305	231.953238
306	231.8225686
307	231.7848818
308	231.3968025
309	231.3654498
310	231.2128527
311	231.1977424
312	231.1829921
313	231.1055728
314	231.1029914
315	231.0780076
316	231.0734639
317	231.0720636
318	231.0663078
319	231.0633171
320	231.0580559
321	231.0431183
322	231.0424377
323	231.0404254
324	231.0384714
325	231.0280026
326	231.0274235
327	231.0224347
328	231.0126221
329	230.995791
330	230.9946295
331	230.8001302
332	230.5917461
333	230.5880945
334	230.5802474
335	230.5790613
336	230.5493403
337	230.5486437
338	230.5399073
339	230.5317134
340	230.5213837
341	230.4979587
342	230.3424269
343	230.3164895
344	230.3138453
345	230.3134375
346	230.3100006
347	230.304459
348	230.3005854
349	230.2993616
350	230.2963591
351	230.2959835
352	230.287489
353	230.2862577
354	230.2817661
355	230.2737879
356	230.2471362
357	230.2353663
358	230.2350306
359	230.2316316
360	230.2296029
361	230.222592
362	230.1970181
363	230.1909461
364	230.1728026
365	230.1439876
366	230.0383301
367	229.8285156
368	229.8234697
369	229.7199584
370	229.6334016
371	229.629452
372	229.6167442
373	229.6117938
374	229.6070411
375	229.5982368
376	229.5972503
377	229.5961437
378	229.5944467
379	229.5878483
380	229.5675764
381	229.5463242
382	229.5411098
383	229.4364092
384	229.4338251
385	229.3723956
386	229.3688116
387	229.3680102
388	229.3432177
389	229.3218959
390	229.3194749
391	229.289582
392	228.8391258
393	228.8174339
394	228.3943743
395	228.392711
396	228.3813425
397	228.3805533
398	228.3776353
399	228.3141462
400	228.1558329
401	228.1515555
402	228.1317705
403	228.1305714
404	228.1238678
405	228.1156959
406	228.112638
407	227.9039748
408	227.7177733
409	227.3503701
410	227.3484411
411	227.0033675
412	226.9124751
413	226.8952117
414	226.890186
415	226.85809
416	226.8538747
417	226.8516502
418	226.8462395
419	226.8381981
420	226.8265075
421	226.7708171
422	226.7688225
423	226.7586859
424	226.7560719
425	226.7500645
426	226.425549
427	226.4215144
428	226.4121975
429	226.107322
430	225.9901734
431	225.4390709
432	225.4378424
433	225.4324049
434	225.1517735
435	225.1478992
436	225.1412063
437	225.1397129
438	225.1378842
439	225.1143572
440	225.1052997
441	225.1050337
442	225.1031842
443	225.1026342
444	225.1023909
445	224.7187283
446	224.7181396
447	224.7164549
448	224.6979645
449	224.6963196
450	224.6737106
451	224.6732797
452	224.6556571
453	224.6554337
454	224.5657921
455	224.4911128
456	224.4907654
457	224.4896815
458	224.3431723
459	224.3340037
460	224.3320996
461	224.3317831
462	224.3250485
463	224.3218008
464	224.2907996
465	224.2899711
466	224.2886066
467	224.2874836
468	224.2757956
469	224.2700136
470	224.247781
471	224.2463242
472	224.2432261
473	224.2378062
474	224.1920119
475	224.1893482
476	224.1842684
477	224.1833539
478	224.1819617
479	224.1806202
480	224.1731056
481	223.9991521
482	223.994381
483	223.9881192
484	223.9800981
485	223.816083
486	223.8060289
487	223.8002283
488	223.787404
489	223.7700276
490	223.7699124
491	223.7652083
492	223.753206
493	223.735266
494	223.7277751
495	223.7225872
496	223.7079374
497	223.7060646
498	223.6926807
499	223.6918038
500	223.6875982
501	223.6815824
502	223.6805749
503	223.6791711
504	223.6765257
505	223.673914
506	223.34335
507	223.3323244
508	223.1942298
509	222.793049
510	222.4782727
511	222.4517261
512	222.4477577
513	222.4461947
514	222.4434426
515	222.442571
516	222.4315553
517	222.4297368
518	222.4233871
519	222.3345472
520	222.3147202
521	222.3083053
522	222.307482
523	222.3066434
524	222.3053595
525	222.2842399
526	222.2841271
527	222.2762367
528	222.2717081
529	222.0507193
530	222.0395195
531	222.0388577
532	222.0252737
533	222.0216732
534	222.0203423
535	222.0075366
536	221.9985962
537	221.9984261
538	221.9982759
539	221.9973349
540	221.9378607
541	221.9326082
542	221.9313216
543	221.9253468
544	221.9202263
545	221.9174044
546	221.9136814
547	221.9059543
548	221.8997965
549	221.8977537
550	221.8955328
551	221.8947956
552	221.8906663
553	221.8870369
554	221.8820649
555	221.8804588
556	221.8637264
557	221.8515112
558	221.8513965
559	221.8507402
560	221.8372048
561	221.833788
562	221.8331199
563	221.8264931
564	221.8189224
565	221.816197
566	221.8160938
567	221.8155907
568	221.8146806
569	221.812756
570	221.8112758
571	221.8100644
572	221.8082454
573	221.8081554
574	221.7926084
575	221.7908723
576	221.7907878
577	221.7857426
578	221.7776177
579	221.7742331
580	221.7602986
581	221.7225846
582	221.7152677
583	221.7149136
584	221.7132951
585	221.7024915
